resultId,positionOrder,statusId,fastest_time_delta,fastest_speed_delta,avg_time_delta,avg_speed_delta,gained_pos,win,current_id,winner_fastest_lap_delta,winner_fastest_speed_delta,actual_result,winner_delta
7600.0,7.0,1.0,1.000985860451897,0.9990131333589612,0.9822241337462575,1.0178682448222252,-12.0,0.0,4.0,0.0759999999999934,-0.11800000000002342,4.0,74476
7601.0,8.0,1.0,1.0177454881341481,0.9825634434760657,0.9986696315624576,1.0011080878134015,-2.0,0.0,4.0,1.9629999999999939,-2.9850000000000136,7.0,76439
7602.0,9.0,1.0,1.0167773909336364,0.9834986717463524,0.9977196796483262,1.0020609673364007,7.0,0.0,4.0,1.853999999999985,-2.8220000000000027,17.0,84309
7603.0,10.0,1.0,1.024904078442518,0.9757012777627964,1.005694046633924,0.9941164073869793,2.0,0.0,4.0,2.7689999999999912,-4.181000000000012,8.0,91750
7604.0,11.0,1.0,1.0078335938610203,0.9922255564034449,0.9889435183865808,1.010952560922177,-4.0,0.0,4.0,0.84699999999998,-1.3010000000000161,6.0,94156
7605.0,12.0,1.0,1.0139086258348728,0.9862814061702116,0.9949046845266343,1.0048962223588211,1.0,0.0,4.0,1.5309999999999917,-2.3370000000000175,13.0,95834
7606.0,13.0,1.0,1.0244955236606508,0.9760914343418118,1.0052931494958501,0.9945139276787827,-4.0,0.0,4.0,2.7229999999999848,-4.1129999999999995,19.0,106853
7607.0,14.0,11.0,1.0323912889015205,0.9686268209697687,1.0130409224468846,0.9869084291547228,-6.0,0.0,4.0,3.6119999999999948,-5.414000000000016,18.0,14340676
7608.0,15.0,11.0,1.014663564018758,0.9855469937861828,0.9956454727165532,1.004147948868368,8.0,0.0,4.0,1.6159999999999854,-2.4650000000000034,15.0,14340676
7609.0,16.0,12.0,1.0261386244138127,0.9745250704290002,1.0069054532033208,0.9929180006249252,0.0,0.0,4.0,2.907999999999987,-4.386000000000024,9.0,14340676
7610.0,17.0,20.0,1.0194063521386956,0.9809626539827528,1.0002993655802792,0.9994770854396794,-1.0,0.0,4.0,2.1499999999999915,-3.26400000000001,10.0,14340676
7611.0,18.0,31.0,1.0317518118516413,0.9692235310317922,1.0124134312742474,0.9875164013657161,4.0,0.0,4.0,3.539999999999992,-5.310000000000002,16.0,14340676
7612.0,19.0,40.0,1.0345672871962486,0.9665899741234387,1.0151761354648863,0.9848331393960439,6.0,0.0,4.0,3.8569999999999993,-5.7690000000000055,20.0,14340676
7613.0,20.0,4.0,1.0687260196106296,0.935693015623476,1.0486946222699234,0.9533530398172108,14.0,0.0,4.0,7.702999999999989,-11.154000000000025,14.0,14340676
7614.0,1.0,1.0,1.0003384237911925,0.9996602749831351,0.9910843482060249,1.0089558862536074,-3.0,1.0,5.0,0.0,0.0,0.0,0
7615.0,2.0,1.0,1.0021151486949533,0.9978888516809108,0.9928446367256957,1.007167990893,-1.0,0.0,5.0,0.16800000000000637,-0.3650000000000091,1.0,7187
7616.0,3.0,1.0,1.0,1.0,0.990749055154659,1.0092987702953677,2.0,0.0,5.0,-0.031999999999996476,0.06999999999999318,4.0,9170
7617.0,4.0,1.0,1.003796691907441,0.9962144926692195,0.9945106240746696,1.0054780624014668,-1.0,0.0,5.0,0.3269999999999982,-0.710000000000008,17.0,22096
7618.0,5.0,1.0,1.0036486314987945,0.9963649423195454,0.9943639333646973,1.0056299110485323,-1.0,0.0,5.0,0.3130000000000166,-0.679000000000002,9.0,37779
7619.0,6.0,1.0,1.0099623503532298,0.9901334148673373,1.0006192443542412,0.9993404380539568,-4.0,0.0,5.0,0.9099999999999966,-1.9630000000000223,2.0,42057
7620.0,7.0,1.0,1.0001903633825457,0.9998107246334609,0.9909376574960523,1.0091077349006727,5.0,0.0,5.0,-0.013999999999995794,0.03099999999997749,15.0,42880
7621.0,8.0,1.0,1.0123313168915775,0.9878184315381292,1.0029662957138024,0.9970039282265327,1.0,0.0,5.0,1.1340000000000146,-2.440000000000026,10.0,52775
7622.0,9.0,1.0,1.0133254367782056,0.9868477886328009,1.0039512190521893,0.996024259535789,0.0,0.0,5.0,1.2280000000000086,-2.640000000000015,5.0,58198
7623.0,10.0,1.0,1.0093595329751681,0.9907255070395876,1.000022003606496,0.9999380359553105,-5.0,0.0,5.0,0.8530000000000086,-1.8410000000000082,8.0,65149
7624.0,11.0,1.0,1.0064406277761326,0.9935986100393595,0.9971301010384653,1.0028378552799122,-7.0,0.0,5.0,0.5769999999999982,-1.2490000000000236,12.0,67641
7625.0,12.0,1.0,1.010195016709675,0.9899053137845851,1.0008497583270555,0.999110215911632,1.0,0.0,5.0,0.9320000000000164,-2.0100000000000193,3.0,77824
7626.0,13.0,1.0,1.0090316849274503,0.9910506724128727,0.9996971884629852,1.0002662249667098,-7.0,0.0,5.0,0.8220000000000027,-1.774000000000001,16.0,78805
7627.0,14.0,11.0,1.005383053428656,0.9946469043771141,0.9960823102529471,1.0038958974659156,6.0,0.0,5.0,0.47700000000000387,-1.0330000000000155,19.0,11173974
7628.0,15.0,11.0,1.0192478531240747,0.981116142276837,1.0098188474510918,0.9902393159169466,-2.0,0.0,5.0,1.788000000000011,-3.8210000000000264,6.0,11173974
7629.0,16.0,11.0,1.0175874613985363,0.9827177030706288,1.008173815917828,0.991855769256674,-3.0,0.0,5.0,1.6310000000000002,-3.491000000000014,14.0,11173974
7630.0,17.0,11.0,1.020273700241127,0.9801260865134022,1.0108352045130444,0.989240053852388,1.0,0.0,5.0,1.8850000000000051,-4.025000000000006,20.0,11173974
7631.0,18.0,11.0,1.0121621049959812,0.9879834408320352,1.0027986491881193,0.9971704719039592,5.0,0.0,5.0,1.1180000000000092,-2.406000000000006,18.0,11173974
7632.0,19.0,11.0,1.0144676170734803,0.9857364025062,1.0050828331005492,0.9949025388848873,5.0,0.0,5.0,1.3360000000000127,-2.8689999999999998,11.0,11173974
7633.0,20.0,51.0,1.0168894623292017,0.983392299889832,1.0074822739993858,0.992536638996741,8.0,0.0,5.0,1.5649999999999977,-3.352000000000004,7.0,11173974
7634.0,1.0,1.0,1.0016553490732463,0.9983455482902353,0.9873571500884343,1.0125596968316655,0.0,1.0,6.0,0.0,0.0,0.0,0
7635.0,2.0,1.0,1.0,1.0,0.9857254304107287,1.0142377041353803,-1.0,0.0,6.0,-0.13700000000000045,0.33500000000000796,1.0,13056
7636.0,3.0,1.0,1.0042289939827456,0.9957873214673751,0.989894057324575,1.0099650467321903,-2.0,0.0,6.0,0.21299999999999386,-0.5180000000000007,2.0,13924
7637.0,4.0,1.0,1.0039631715038302,0.9960490705438454,0.9896320293471333,1.0102305225145691,2.0,0.0,6.0,0.1910000000000025,-0.4650000000000034,5.0,18941
